order_id,order_date,ship_date,ship_mode,customer_id,customer_name,cust_age,cust_gender,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,returned
CA-2015-143336,27/08/15,01/09/15,Second Class,ZD-21925,Zuschuss Donatelli,19,Female,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824,TRUE
CA-2015-143336,27/08/15,01/09/15,Second Class,ZD-21925,Zuschuss Donatelli,19,Female,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,TRUE
CA-2015-143336,27/08/15,01/09/15,Second Class,ZD-21925,Zuschuss Donatelli,19,Female,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,TRUE
CA-2017-111682,17/06/17,18/06/17,First Class,TB-21055,Ted Butterfield,20,Female,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,TRUE
CA-2017-111682,17/06/17,18/06/17,First Class,TB-21055,Ted Butterfield,20,Female,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552,TRUE
CA-2017-111682,17/06/17,18/06/17,First Class,TB-21055,Ted Butterfield,20,Female,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,TRUE
CA-2017-111682,17/06/17,18/06/17,First Class,TB-21055,Ted Butterfield,20,Female,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,TRUE
CA-2017-111682,17/06/17,18/06/17,First Class,TB-21055,Ted Butterfield,20,Female,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3,TRUE
CA-2017-111682,17/06/17,18/06/17,First Class,TB-21055,Ted Butterfield,20,Female,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,TRUE
CA-2017-111682,17/06/17,18/06/17,First Class,TB-21055,Ted Butterfield,20,Female,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,TRUE
CA-2017-109806,17/09/17,22/09/17,Standard Class,JS-15685,Jim Sink,28,Female,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633,TRUE
CA-2017-109806,17/09/17,22/09/17,Standard Class,JS-15685,Jim Sink,28,Female,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,TRUE
CA-2017-109806,17/09/17,22/09/17,Standard Class,JS-15685,Jim Sink,28,Female,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104,TRUE
CA-2017-145583,13/10/17,19/10/17,Standard Class,LC-16885,Lena Creighton,19,Female,Consumer,United States,Roseville,California,95661,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3,0,9.6192,TRUE
CA-2017-145583,13/10/17,19/10/17,Standard Class,LC-16885,Lena Creighton,19,Female,Consumer,United States,Roseville,California,95661,West,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44,1,0,16.6568,TRUE
CA-2017-145583,13/10/17,19/10/17,Standard Class,LC-16885,Lena Creighton,19,Male,Consumer,United States,Roseville,California,95661,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0,3.456,TRUE
CA-2017-145583,13/10/17,19/10/17,Standard Class,LC-16885,Lena Creighton,19,Female,Consumer,United States,Roseville,California,95661,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0,1.9698,TRUE
CA-2017-145583,13/10/17,19/10/17,Standard Class,LC-16885,Lena Creighton,19,Female,Consumer,United States,Roseville,California,95661,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,0.2,26.6616,TRUE
CA-2017-145583,13/10/17,19/10/17,Standard Class,LC-16885,Lena Creighton,19,Female,Consumer,United States,Roseville,California,95661,West,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,0,18.4464,TRUE
CA-2017-145583,13/10/17,19/10/17,Standard Class,LC-16885,Lena Creighton,19,Female,Consumer,United States,Roseville,California,95661,West,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0,20.6976,TRUE
CA-2015-133690,03/08/15,05/08/15,First Class,BS-11755,Bruce Stewart,22,Female,Consumer,United States,Denver,Colorado,80219,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,218.75,2,0.5,-161.875,TRUE
CA-2015-133690,03/08/15,05/08/15,First Class,BS-11755,Bruce Stewart,22,Female,Consumer,United States,Denver,Colorado,80219,West,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2,0.2925,TRUE
CA-2016-146262,02/01/16,09/01/16,Standard Class,VW-21775,Victoria Wilson,19,Female,Corporate,United States,Medina,Ohio,44256,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505,23.68,2,0.2,8.88,TRUE
CA-2016-146262,02/01/16,09/01/16,Standard Class,VW-21775,Victoria Wilson,19,Female,Corporate,United States,Medina,Ohio,44256,East,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,452.45,5,0.5,-244.323,TRUE
CA-2016-146262,02/01/16,09/01/16,Standard Class,VW-21775,Victoria Wilson,19,Female,Corporate,United States,Medina,Ohio,44256,East,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,62.982,3,0.4,-14.6958,TRUE
CA-2016-146262,02/01/16,09/01/16,Standard Class,VW-21775,Victoria Wilson,19,Female,Corporate,United States,Medina,Ohio,44256,East,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,1188,9,0.7,-950.4,TRUE
CA-2016-146262,02/01/16,09/01/16,Standard Class,VW-21775,Victoria Wilson,19,Female,Corporate,United States,Medina,Ohio,44256,East,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,89.584,2,0.2,4.4792,TRUE
CA-2016-169397,24/12/16,27/12/16,First Class,JB-15925,Joni Blumstein,18,Female,Consumer,United States,Dublin,Ohio,43017,East,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,5.584,2,0.2,1.8148,TRUE
CA-2016-169397,24/12/16,27/12/16,First Class,JB-15925,Joni Blumstein,18,Female,Consumer,United States,Dublin,Ohio,43017,East,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",22.704,6,0.2,8.2302,TRUE
CA-2016-169397,24/12/16,27/12/16,First Class,JB-15925,Joni Blumstein,18,Female,Consumer,United States,Dublin,Ohio,43017,East,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,19.776,4,0.7,-13.8432,TRUE
CA-2016-169397,24/12/16,27/12/16,First Class,JB-15925,Joni Blumstein,18,Female,Consumer,United States,Dublin,Ohio,43017,East,FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",72.704,4,0.2,19.0848,TRUE
CA-2016-169397,24/12/16,27/12/16,First Class,JB-15925,Joni Blumstein,18,Female,Consumer,United States,Dublin,Ohio,43017,East,TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,479.988,4,0.7,-383.9904,TRUE
CA-2016-169397,24/12/16,27/12/16,First Class,JB-15925,Joni Blumstein,18,Female,Consumer,United States,Dublin,Ohio,43017,East,OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,27.168,2,0.2,2.7168,TRUE
CA-2017-162138,23/04/17,27/04/17,Standard Class,GK-14620,Grace Kelly,23,Female,Corporate,United States,Hesperia,California,92345,West,OFF-BI-10004593,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,251.52,6,0.2,81.744,TRUE
CA-2017-162138,23/04/17,27/04/17,Standard Class,GK-14620,Grace Kelly,23,Female,Corporate,United States,Hesperia,California,92345,West,TEC-AC-10001908,Technology,Accessories,Logitech Wireless Headset h800,99.99,1,0,34.9965,TRUE
CA-2017-134775,28/10/17,29/10/17,First Class,AS-10285,Alejandro Savely,22,Female,Corporate,United States,San Francisco,California,94109,West,OFF-PA-10004734,Office Supplies,Paper,Southworth Structures Collection,50.96,7,0,25.48,TRUE
CA-2017-134775,28/10/17,29/10/17,First Class,AS-10285,Alejandro Savely,22,Female,Corporate,United States,San Francisco,California,94109,West,OFF-BI-10002225,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",49.536,3,0.2,17.3376,TRUE
